,Index,Label,X,Y,Z,User
327736,327736,0,0.645,2.926,-0.297,P3
327737,327737,0,0.668,2.773,-0.387,P3
327738,327738,0,0.68,2.82,-0.453,P3
327739,327739,0,0.73,3.133,-0.68,P3
327740,327740,0,0.875,3.488,-1.137,P3
327741,327741,0,0.918,3.789,-1.648,P3
327742,327742,0,0.969,4.289,-1.813,P3
327743,327743,0,1.164,5.313,-1.797,P3
327744,327744,0,1.152,6.172,-2.07,P3
327745,327745,0,0.711,6.199,-2.625,P3
327746,327746,0,0.449,5.871,-3.156,P3
327747,327747,0,0.613,5.152,-3.492,P3
327748,327748,0,0.82,4.066,-3.625,P3
327749,327749,0,0.863,3.297,-3.531,P3
327750,327750,0,0.664,2.875,-3.262,P3
327751,327751,0,0.344,2.703,-2.875,P3
327752,327752,0,0.008,2.887,-2.551,P3
327753,327753,0,-0.234,3.449,-2.316,P3
327754,327754,0,-0.094,4.422,-2.082,P3
327755,327755,0,0.316,5.656,-1.895,P3
327756,327756,0,0.535,6.879,-1.594,P3
327757,327757,0,0.355,7.457,-1.105,P3
327758,327758,0,-0.223,7.082,-0.695,P3
327759,327759,0,-0.543,4.465,-0.941,P3
327760,327760,0,-0.633,3.73,-1.07,P3
327761,327761,0,-0.824,3.93,0.016,P3
327762,327762,0,-0.84,4.285,0.422,P3
327763,327763,0,-1.785,4.781,1.082,P3
327764,327764,0,-0.855,4.875,2.477,P3
327765,327765,0,-2.035,5.305,4.953,P3
327766,327766,0,-4.148,3.387,5.855,P3
327767,327767,0,-3.43,1.488,5.398,P3
327768,327768,0,-1.223,0.84,4.621,P3
327769,327769,0,-0.512,1.305,4.254,P3
327770,327770,0,-0.25,1.445,4.086,P3
327771,327771,0,-0.008,1.387,3.734,P3
327772,327772,0,-0.207,1.695,3.824,P3
327773,327773,0,0.023,1.605,4,P3
327774,327774,0,0.723,1.16,3.754,P3
327775,327775,0,1.176,0.773,3.316,P3
327776,327776,0,1.352,0.355,2.875,P3
327777,327777,0,1.504,-0.129,2.582,P3
327778,327778,0,1.355,-0.504,2.391,P3
327779,327779,0,0.949,-0.672,2.227,P3
327780,327780,0,0.566,-0.582,2.004,P3
327781,327781,0,0.164,-0.238,1.73,P3
327782,327782,0,-0.27,0.23,1.461,P3
327783,327783,0,-0.578,0.707,1.258,P3
327784,327784,0,-0.75,1.094,1.102,P3
327785,327785,0,-0.887,1.387,0.934,P3
327786,327786,0,-0.984,1.586,0.785,P3
327787,327787,0,-0.859,1.711,0.656,P3
327788,327788,0,-0.707,1.82,0.57,P3
327789,327789,0,-0.555,1.879,0.445,P3
327790,327790,0,-0.5,1.859,0.313,P3
