,Index,Label,X,Y,Z,User
511301,511301,0,-1.793,2.449,-0.887,P2
511302,511302,0,-1.656,2.551,-1.078,P2
511303,511303,0,-1.332,3.176,-1.34,P2
511304,511304,0,-0.75,3.648,-1.836,P2
511305,511305,0,0.18,3.82,-2.43,P2
511306,511306,0,1.203,3.898,-2.949,P2
511307,511307,0,1.813,3.969,-3.371,P2
511308,511308,0,1.598,4.121,-3.59,P2
511309,511309,0,1.117,4.113,-3.59,P2
511310,511310,0,0.648,3.84,-3.406,P2
511311,511311,0,0.18,3.406,-3.18,P2
511312,511312,0,-0.172,3.289,-3.117,P2
511313,511313,0,-0.586,4.102,-3.156,P2
511314,511314,0,-1.496,5.504,-2.914,P2
511315,511315,0,-2.703,6.844,-2.191,P2
511316,511316,0,-3.957,7.445,-1.145,P2
511317,511317,0,-4.637,7.598,-0.305,P2
511318,511318,0,-3.223,5.332,-0.691,P2
511319,511319,0,-2.633,4.27,-0.945,P2
511320,511320,0,-2.621,4.285,-1.047,P2
511321,511321,0,-2.234,4.047,1.215,P2
511322,511322,0,-0.98,1.781,1.746,P2
511323,511323,0,-2.043,1.617,1.719,P2
511324,511324,0,-0.387,2.973,5.414,P2
511325,511325,0,-1.309,3.422,5.074,P2
511326,511326,0,-3.535,2.754,5.789,P2
511327,511327,0,-5.293,2.5,7.012,P2
511328,511328,0,-3.336,1.813,5.855,P2
511329,511329,0,-0.961,1.91,5.277,P2
511330,511330,0,-0.965,1.703,5.129,P2
511331,511331,0,-1.246,1.559,4.758,P2
511332,511332,0,-1.387,1.707,4.266,P2
511333,511333,0,-1.176,1.684,3.535,P2
511334,511334,0,-1,1.672,2.734,P2
511335,511335,0,-0.832,1.621,2.078,P2
511336,511336,0,-0.617,1.563,1.641,P2
511337,511337,0,-0.59,1.465,1.277,P2
511338,511338,0,-0.73,1.301,1.02,P2
511339,511339,0,-0.691,1.16,0.984,P2
511340,511340,0,-0.301,1.051,0.941,P2
511341,511341,0,-0.039,1.086,0.715,P2
511342,511342,0,1.141,1.488,0.094,P2
511343,511343,0,2.961,1.961,0.305,P2
511344,511344,0,1.625,3.98,2.348,P2
511345,511345,0,0.156,4.438,2.516,P2
511346,511346,0,-0.965,3.18,0.949,P2
511347,511347,0,0.68,1.641,1.133,P2
511348,511348,0,0.543,0.898,1,P2
511349,511349,0,-0.223,0.293,0.418,P2
511350,511350,0,-0.898,0.551,0.098,P2
511351,511351,0,-0.82,0.75,0.004,P2
511352,511352,0,-0.547,0.988,-0.074,P2
513221,513221,0,0.492,3.582,-1.898,P2
513222,513222,0,0.875,3.457,-2.727,P2
513223,513223,0,1.008,3.371,-3.434,P2
513224,513224,0,0.789,3.523,-4.074,P2
513225,513225,0,0.5,3.648,-4.57,P2
513226,513226,0,0.395,3.641,-4.727,P2
513227,513227,0,0.281,3.766,-4.719,P2
513228,513228,0,-0.523,4.43,-4.621,P2
