,Index,Label,X,Y,Z,User
511301,511301.000000,0,-1.793000,2.449000,-0.887000,P2
511302,511302.000000,0,-1.656000,2.551000,-1.078000,P2
511303,511303.000000,0,-1.332000,3.176000,-1.340000,P2
511304,511304.000000,0,-0.750000,3.648000,-1.836000,P2
511305,511305.000000,0,0.180000,3.820000,-2.430000,P2
511306,511306.000000,0,1.203000,3.898000,-2.949000,P2
511307,511307.000000,0,1.813000,3.969000,-3.371000,P2
511308,511308.000000,0,1.598000,4.121000,-3.590000,P2
511309,511309.000000,0,1.117000,4.113000,-3.590000,P2
511310,511310.000000,0,0.648000,3.840000,-3.406000,P2
511311,511311.000000,0,0.180000,3.406000,-3.180000,P2
511312,511312.000000,0,-0.172000,3.289000,-3.117000,P2
511313,511313.000000,0,-0.586000,4.102000,-3.156000,P2
511314,511314.000000,0,-1.496000,5.504000,-2.914000,P2
511315,511315.000000,0,-2.703000,6.844000,-2.191000,P2
511316,511316.000000,0,-3.957000,7.445000,-1.145000,P2
511317,511317.000000,0,-4.637000,7.598000,-0.305000,P2
511318,511318.000000,0,-3.223000,5.332000,-0.691000,P2
511319,511319.000000,0,-2.633000,4.270000,-0.945000,P2
511320,511320.000000,0,-2.621000,4.285000,-1.047000,P2
511321,511321.000000,0,-2.234000,4.047000,1.215000,P2
511322,511322.000000,0,-0.980000,1.781000,1.746000,P2
511323,511323.000000,0,-2.043000,1.617000,1.719000,P2
511324,511324.000000,0,-0.387000,2.973000,5.414000,P2
511325,511325.000000,0,-1.309000,3.422000,5.074000,P2
511326,511326.000000,0,-3.535000,2.754000,5.789000,P2
511327,511327.000000,0,-5.293000,2.500000,7.012000,P2
511328,511328.000000,0,-3.336000,1.813000,5.855000,P2
511329,511329.000000,0,-0.961000,1.910000,5.277000,P2
511330,511330.000000,0,-0.965000,1.703000,5.129000,P2
511331,511331.000000,0,-1.246000,1.559000,4.758000,P2
511332,511332.000000,0,-1.387000,1.707000,4.266000,P2
511333,511333.000000,0,-1.176000,1.684000,3.535000,P2
511334,511334.000000,0,-1.000000,1.672000,2.734000,P2
511335,511335.000000,0,-0.832000,1.621000,2.078000,P2
511336,511336.000000,0,-0.617000,1.563000,1.641000,P2
511337,511337.000000,0,-0.590000,1.465000,1.277000,P2
511338,511338.000000,0,-0.730000,1.301000,1.020000,P2
511339,511339.000000,0,-0.691000,1.160000,0.984000,P2
511340,511340.000000,0,-0.301000,1.051000,0.941000,P2
511341,511341.000000,0,-0.039000,1.086000,0.715000,P2
511342,511342.000000,0,1.141000,1.488000,0.094000,P2
511343,511343.000000,0,2.961000,1.961000,0.305000,P2
511344,511344.000000,0,1.625000,3.980000,2.348000,P2
511345,511345.000000,0,0.156000,4.438000,2.516000,P2
511346,511346.000000,0,-0.965000,3.180000,0.949000,P2
511347,511347.000000,0,0.680000,1.641000,1.133000,P2
511348,511348.000000,0,0.543000,0.898000,1.000000,P2
511349,511349.000000,0,-0.223000,0.293000,0.418000,P2
511350,511350.000000,0,-0.898000,0.551000,0.098000,P2
511351,511351.000000,0,-0.820000,0.750000,0.004000,P2
511352,511352.000000,0,-0.547000,0.988000,-0.074000,P2
513221,513221.000000,0,0.492000,3.582000,-1.898000,P2
513222,513222.000000,0,0.875000,3.457000,-2.727000,P2
513223,513223.000000,0,1.008000,3.371000,-3.434000,P2
513224,513224.000000,0,0.789000,3.523000,-4.074000,P2
513225,513225.000000,0,0.500000,3.648000,-4.570000,P2
513226,513226.000000,0,0.395000,3.641000,-4.727000,P2
513227,513227.000000,0,0.281000,3.766000,-4.719000,P2
513228,513228.000000,0,-0.523000,4.430000,-4.621000,P2
513229,513229.000000,0,-1.563000,5.625000,-4.227000,P2
513230,513230.000000,0,-2.656000,6.902000,-3.441000,P2
513231,513231.000000,0,-3.953000,7.461000,-2.551000,P2
513232,513232.000000,0,-4.855000,7.684000,-1.727000,P2
513233,513233.000000,0,-4.434000,7.160000,-1.125000,P2
513234,513234.000000,0,-3.219000,4.949000,-1.117000,P2
513235,513235.000000,0,-3.168000,4.566000,-1.113000,P2
513236,513236.000000,0,-3.160000,4.652000,-1.094000,P2
513237,513237.000000,0,-1.324000,4.621000,-0.234000,P2
513238,513238.000000,0,-1.500000,2.867000,-0.270000,P2
513239,513239.000000,0,-0.844000,1.441000,3.512000,P2
513240,513240.000000,0,-1.387000,2.367000,5.137000,P2
513241,513241.000000,0,-3.270000,2.215000,6.676000,P2
513242,513242.000000,0,-4.660000,1.117000,7.633000,P2
513243,513243.000000,0,-3.238000,0.996000,7.113000,P2
513244,513244.000000,0,-1.242000,1.145000,6.199000,P2
513245,513245.000000,0,-1.297000,1.500000,5.555000,P2
513246,513246.000000,0,-1.563000,1.852000,4.824000,P2
513247,513247.000000,0,-1.234000,1.992000,3.762000,P2
513248,513248.000000,0,-0.395000,2.297000,1.836000,P2
513249,513249.000000,0,3.016000,2.707000,-0.188000,P2
513250,513250.000000,0,5.266000,2.969000,0.066000,P2
513251,513251.000000,0,1.340000,3.023000,2.820000,P2
513252,513252.000000,0,-1.945000,3.840000,4.355000,P2
513253,513253.000000,0,-2.395000,3.898000,1.824000,P2
513254,513254.000000,0,-0.664000,2.477000,1.539000,P2
513255,513255.000000,0,1.754000,0.633000,1.215000,P2
513256,513256.000000,0,-0.555000,0.609000,0.430000,P2
513257,513257.000000,0,-1.477000,0.316000,0.367000,P2
513258,513258.000000,0,-0.766000,0.719000,0.523000,P2
513259,513259.000000,0,-0.352000,1.383000,0.570000,P2
513260,513260.000000,0,-0.375000,1.176000,0.422000,P2
514986,514986.000000,0,1.121000,2.988000,-3.453000,P2
514987,514987.000000,0,0.695000,3.301000,-3.516000,P2
514988,514988.000000,0,-0.285000,4.344000,-3.520000,P2
514989,514989.000000,0,-1.242000,5.941000,-3.250000,P2
514990,514990.000000,0,-2.371000,7.078000,-2.641000,P2
514991,514991.000000,0,-3.719000,7.535000,-1.844000,P2
514992,514992.000000,0,-4.500000,7.336000,-1.160000,P2
514993,514993.000000,0,-3.281000,5.203000,-1.141000,P2
514994,514994.000000,0,-3.273000,4.676000,-1.133000,P2
514995,514995.000000,0,-0.910000,2.168000,-1.102000,P2
514996,514996.000000,0,0.395000,2.492000,0.215000,P2
514997,514997.000000,0,-1.031000,2.402000,0.535000,P2
514998,514998.000000,0,-1.348000,0.941000,3.449000,P2
514999,514999.000000,0,-1.570000,1.422000,5.789000,P2
515000,515000.000000,0,-3.621000,1.977000,6.773000,P2
515001,515001.000000,0,-5.188000,0.551000,7.500000,P2
515002,515002.000000,0,-4.297000,0.844000,6.828000,P2
515003,515003.000000,0,-1.629000,1.516000,5.684000,P2
515004,515004.000000,0,-1.453000,1.699000,5.125000,P2
515005,515005.000000,0,-2.039000,1.797000,4.590000,P2
515006,515006.000000,0,-1.961000,2.051000,3.727000,P2
515007,515007.000000,0,-1.012000,2.352000,2.125000,P2
515008,515008.000000,0,2.656000,2.660000,0.133000,P2
515009,515009.000000,0,5.367000,2.715000,0.543000,P2
515010,515010.000000,0,2.137000,2.633000,3.422000,P2
515011,515011.000000,0,-2.441000,4.336000,5.805000,P2
515012,515012.000000,0,-2.660000,4.281000,1.953000,P2
515013,515013.000000,0,-0.762000,2.797000,1.410000,P2
515014,515014.000000,0,2.203000,0.863000,1.727000,P2
515015,515015.000000,0,-0.250000,0.684000,0.836000,P2
515016,515016.000000,0,-1.363000,0.273000,0.348000,P2
515017,515017.000000,0,-0.793000,0.578000,0.402000,P2
515018,515018.000000,0,-0.547000,1.316000,0.484000,P2
515019,515019.000000,0,-0.539000,1.219000,0.457000,P2
515020,515020.000000,0,-0.625000,0.949000,0.211000,P2
516381,516381.000000,0,0.207000,4.379000,-2.320000,P2
516382,516382.000000,0,0.758000,4.320000,-2.910000,P2
516383,516383.000000,0,0.957000,4.398000,-3.547000,P2
516384,516384.000000,0,0.930000,4.395000,-4.070000,P2
516385,516385.000000,0,0.813000,4.160000,-4.270000,P2
516386,516386.000000,0,0.645000,3.914000,-4.234000,P2
516387,516387.000000,0,0.340000,3.656000,-4.117000,P2
516388,516388.000000,0,-0.238000,4.082000,-3.938000,P2
516389,516389.000000,0,-1.031000,5.230000,-3.688000,P2
516390,516390.000000,0,-2.141000,6.508000,-3.195000,P2
516391,516391.000000,0,-3.473000,7.316000,-2.398000,P2
516392,516392.000000,0,-4.625000,7.621000,-1.582000,P2
516393,516393.000000,0,-5.547000,7.746000,-0.832000,P2
516394,516394.000000,0,-4.684000,6.539000,-0.723000,P2
516395,516395.000000,0,-3.684000,5.063000,-0.977000,P2
516396,516396.000000,0,-3.938000,5.148000,-1.074000,P2
516397,516397.000000,0,-3.504000,4.512000,-0.848000,P2
516398,516398.000000,0,-1.738000,3.328000,1.141000,P2
516399,516399.000000,0,-1.504000,2.371000,0.398000,P2
516400,516400.000000,0,-3.023000,-0.902000,1.531000,P2
516401,516401.000000,0,-2.137000,-0.027000,3.766000,P2
516402,516402.000000,0,-4.188000,0.051000,6.434000,P2
516403,516403.000000,0,-4.137000,0.633000,6.613000,P2
516404,516404.000000,0,-1.199000,1.895000,6.367000,P2
516405,516405.000000,0,-0.074000,1.727000,5.344000,P2
516406,516406.000000,0,-0.664000,2.211000,3.668000,P2
516407,516407.000000,0,1.191000,2.648000,3.457000,P2
516408,516408.000000,0,3.848000,3.645000,3.133000,P2
516409,516409.000000,0,0.879000,3.738000,5.391000,P2
516410,516410.000000,0,-1.422000,3.547000,4.293000,P2
516411,516411.000000,0,-3.207000,3.703000,1.711000,P2
516412,516412.000000,0,-1.004000,1.902000,1.367000,P2
516413,516413.000000,0,0.965000,0.105000,1.133000,P2
516414,516414.000000,0,-0.531000,0.531000,0.438000,P2
516415,516415.000000,0,-1.230000,0.551000,0.336000,P2
520411,520411.000000,0,-0.059000,2.715000,0.113000,P2
520412,520412.000000,0,0.598000,2.766000,-0.137000,P2
520413,520413.000000,0,0.582000,2.777000,-0.324000,P2
520414,520414.000000,0,0.180000,2.746000,-0.551000,P2
520415,520415.000000,0,-0.066000,2.617000,-0.742000,P2
