,Index,Label,X,Y,Z,User
409171,409171.000000,0,-0.734000,2.070000,1.855000,P4
409172,409172.000000,0,-0.324000,2.809000,2.715000,P4
409173,409173.000000,0,0.484000,3.547000,2.652000,P4
409174,409174.000000,0,1.281000,3.305000,2.250000,P4
409175,409175.000000,0,0.973000,3.023000,1.820000,P4
409176,409176.000000,0,-0.301000,3.656000,1.004000,P4
409177,409177.000000,0,-1.707000,4.133000,0.426000,P4
409178,409178.000000,0,-2.559000,3.984000,0.148000,P4
409179,409179.000000,0,-2.129000,3.766000,0.094000,P4
409180,409180.000000,0,-0.883000,3.703000,0.156000,P4
409181,409181.000000,0,-0.230000,3.699000,0.078000,P4
409182,409182.000000,0,0.121000,3.645000,0.063000,P4
409183,409183.000000,0,0.465000,3.543000,0.070000,P4
409184,409184.000000,0,0.832000,3.625000,-0.098000,P4
409185,409185.000000,0,1.598000,3.770000,-0.297000,P4
409186,409186.000000,0,2.844000,3.578000,-0.449000,P4
409187,409187.000000,0,2.766000,3.184000,-0.625000,P4
409188,409188.000000,0,1.805000,3.156000,-1.090000,P4
409189,409189.000000,0,0.855000,3.715000,-1.512000,P4
409190,409190.000000,0,0.496000,4.324000,-1.703000,P4
409191,409191.000000,0,0.863000,4.855000,-1.840000,P4
409192,409192.000000,0,1.730000,5.105000,-2.063000,P4
409193,409193.000000,0,2.680000,5.027000,-2.246000,P4
409194,409194.000000,0,3.656000,4.762000,-2.414000,P4
409195,409195.000000,0,4.133000,3.961000,-2.836000,P4
409196,409196.000000,0,3.945000,3.176000,-3.113000,P4
409197,409197.000000,0,3.531000,2.840000,-3.020000,P4
409198,409198.000000,0,2.961000,2.543000,-2.836000,P4
409199,409199.000000,0,2.406000,2.125000,-2.652000,P4
409200,409200.000000,0,1.934000,2.090000,-2.535000,P4
409201,409201.000000,0,1.695000,2.625000,-2.453000,P4
409202,409202.000000,0,1.461000,3.465000,-2.602000,P4
409203,409203.000000,0,1.203000,4.895000,-2.719000,P4
409204,409204.000000,0,0.922000,6.559000,-2.535000,P4
409205,409205.000000,0,0.809000,7.332000,-2.016000,P4
409206,409206.000000,0,0.797000,7.629000,-1.242000,P4
409207,409207.000000,0,0.477000,7.227000,-0.625000,P4
409208,409208.000000,0,-0.004000,4.551000,-0.930000,P4
409209,409209.000000,0,-0.434000,3.754000,-1.109000,P4
409210,409210.000000,0,0.355000,3.426000,-0.863000,P4
409211,409211.000000,0,0.695000,3.742000,-0.605000,P4
409212,409212.000000,0,-1.285000,4.230000,2.383000,P4
409213,409213.000000,0,-5.184000,5.828000,3.375000,P4
409214,409214.000000,0,-7.164000,4.461000,4.348000,P4
409215,409215.000000,0,-7.094000,2.629000,5.316000,P4
409216,409216.000000,0,-3.461000,2.789000,5.477000,P4
409217,409217.000000,0,0.031000,1.828000,4.695000,P4
409218,409218.000000,0,1.086000,1.863000,3.820000,P4
409219,409219.000000,0,0.441000,1.988000,2.703000,P4
409220,409220.000000,0,-0.203000,2.168000,2.262000,P4
409221,409221.000000,0,-0.816000,2.164000,2.500000,P4
409222,409222.000000,0,-0.961000,1.785000,2.926000,P4
409223,409223.000000,0,-0.695000,1.336000,3.129000,P4
409224,409224.000000,0,-0.293000,0.918000,3.039000,P4
409225,409225.000000,0,0.098000,0.570000,2.797000,P4
409226,409226.000000,0,0.285000,0.223000,2.465000,P4
409227,409227.000000,0,0.297000,-0.070000,2.145000,P4
409228,409228.000000,0,0.227000,-0.176000,1.852000,P4
409229,409229.000000,0,0.180000,-0.082000,1.578000,P4
409230,409230.000000,0,0.176000,0.109000,1.301000,P4
409231,409231.000000,0,0.266000,0.301000,1.066000,P4
409232,409232.000000,0,0.484000,0.469000,0.949000,P4
409233,409233.000000,0,0.695000,0.586000,0.902000,P4
409234,409234.000000,0,0.738000,0.660000,0.840000,P4
409235,409235.000000,0,0.535000,0.742000,0.770000,P4
409236,409236.000000,0,0.219000,0.852000,0.723000,P4
409237,409237.000000,0,0.004000,0.996000,0.727000,P4
409238,409238.000000,0,-0.133000,1.195000,0.695000,P4
409239,409239.000000,0,-0.262000,1.371000,0.578000,P4
409240,409240.000000,0,-0.340000,1.461000,0.402000,P4
409241,409241.000000,0,-0.402000,1.496000,0.230000,P4
409242,409242.000000,0,-0.465000,1.574000,0.117000,P4
409243,409243.000000,0,-0.566000,1.645000,0.059000,P4
409244,409244.000000,0,-0.621000,1.566000,0.023000,P4
409245,409245.000000,0,-0.359000,1.691000,-0.129000,P4
409246,409246.000000,0,2.504000,3.027000,-2.641000,P4
409247,409247.000000,0,4.188000,1.879000,-2.375000,P4
409248,409248.000000,0,4.027000,0.184000,0.367000,P4
409249,409249.000000,0,-1.723000,0.551000,0.941000,P4
409250,409250.000000,0,-5.852000,2.414000,0.852000,P4
409251,409251.000000,0,-4.316000,2.676000,0.781000,P4
409252,409252.000000,0,0.422000,1.578000,0.465000,P4
409253,409253.000000,0,1.945000,0.148000,0.066000,P4
409254,409254.000000,0,0.504000,0.203000,-0.207000,P4
409255,409255.000000,0,-0.758000,0.961000,0.039000,P4
409256,409256.000000,0,-1.273000,1.207000,-0.055000,P4
409257,409257.000000,0,-0.637000,1.230000,-0.113000,P4
409258,409258.000000,0,0.316000,1.223000,-0.016000,P4
409259,409259.000000,0,0.285000,1.090000,-0.125000,P4
409260,409260.000000,0,0.098000,0.926000,-0.219000,P4
411846,411846.000000,0,-0.438000,1.406000,1.266000,P4
411847,411847.000000,0,-0.527000,1.637000,1.809000,P4
411848,411848.000000,0,-0.328000,2.051000,2.480000,P4
411849,411849.000000,0,0.363000,2.551000,3.555000,P4
411850,411850.000000,0,1.129000,3.090000,4.039000,P4
411851,411851.000000,0,1.973000,3.188000,3.172000,P4
411852,411852.000000,0,2.445000,2.539000,1.613000,P4
411853,411853.000000,0,0.930000,3.395000,0.066000,P4
411854,411854.000000,0,-1.344000,4.340000,-0.352000,P4
411855,411855.000000,0,-2.574000,4.168000,-0.305000,P4
411856,411856.000000,0,-2.273000,3.871000,0.035000,P4
411857,411857.000000,0,-0.875000,3.676000,0.148000,P4
411858,411858.000000,0,0.199000,3.523000,0.227000,P4
411859,411859.000000,0,0.441000,3.391000,0.043000,P4
411860,411860.000000,0,0.773000,3.164000,-0.211000,P4
411861,411861.000000,0,1.441000,3.137000,-0.391000,P4
411862,411862.000000,0,2.363000,3.125000,-0.496000,P4
411863,411863.000000,0,3.012000,2.867000,-0.535000,P4
411864,411864.000000,0,3.227000,2.176000,-0.648000,P4
411865,411865.000000,0,2.930000,2.027000,-1.047000,P4
411866,411866.000000,0,2.199000,2.535000,-1.512000,P4
411867,411867.000000,0,1.762000,3.129000,-1.867000,P4
411868,411868.000000,0,1.500000,3.598000,-1.895000,P4
411869,411869.000000,0,1.672000,4.148000,-1.906000,P4
411870,411870.000000,0,2.137000,4.625000,-2.012000,P4
411871,411871.000000,0,2.777000,4.652000,-2.191000,P4
411872,411872.000000,0,3.145000,4.492000,-2.496000,P4
411873,411873.000000,0,3.047000,4.117000,-2.918000,P4
