x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
2.655150,3.410600,-1.546950,1.344109,2.284989,1.418495,1.159357,1.511618,1.191006,4.590759,4.820984,0.185104,-0.610980,-1.064573,166.534507,166.534507,0,0
1.099650,3.002450,-1.558950,9.380124,2.773587,1.990483,3.062699,1.665409,1.410845,3.557283,4.910442,3.131478,-1.356395,-3.792263,202.406951,202.406951,0,0
-2.003100,2.202950,1.248650,7.515636,1.344663,6.753584,2.741466,1.159596,2.598766,3.228703,4.703835,1.228005,-1.108293,-4.261317,223.045274,223.045274,0,0
-1.311500,1.481950,1.543950,6.533937,1.049511,5.062029,2.556157,1.024457,2.249895,2.509978,3.380783,-1.210041,0.660232,-4.191850,158.545440,158.545440,0,0
-0.054150,1.246950,0.008100,0.310239,0.728363,0.114372,0.556991,0.853442,0.338190,1.248151,1.478940,-0.184423,-0.146807,-0.083366,5.953181,5.953181,0,0
0.618050,2.145700,-0.276600,0.716531,0.862729,0.161767,0.846482,0.928832,0.402203,2.250005,2.389686,0.324285,-0.320865,-0.183922,21.253811,21.253811,0,0
2.561500,2.764850,-1.192900,2.007880,1.073481,0.662203,1.416997,1.036089,0.813759,3.953314,4.167315,-0.183763,-0.114793,-1.076598,169.375360,169.375360,0,0
1.977800,2.671800,-1.324450,7.255269,3.766913,1.184752,2.693561,1.940854,1.088463,3.578320,4.757687,2.176481,-1.108920,-1.776771,216.083968,216.083968,0,0
-1.160700,1.949900,1.004850,7.231015,3.431442,7.653894,2.689055,1.852415,2.766567,2.481745,4.519462,2.262568,-1.904156,-3.349181,164.333774,164.333774,0,0
-1.196100,1.384600,1.191650,4.017199,0.499690,6.665825,2.004295,0.706887,2.581826,2.183530,3.282917,-0.505528,0.075668,-2.816707,104.939876,104.939876,0,0
0.099700,1.133000,-0.051250,0.358021,0.281843,0.530162,0.598349,0.530889,0.728122,1.138532,1.384062,0.139785,-0.148696,-0.306106,7.001208,7.001208,0,0
0.450750,0.950600,0.253800,0.204245,0.020868,0.018488,0.451935,0.144458,0.135971,1.082234,1.168448,0.000120,-0.005462,0.003691,7.944173,7.944173,0,0
0.640900,0.964650,0.185500,0.065621,0.026944,0.013529,0.256166,0.164146,0.116314,1.172908,1.201675,-0.000018,-0.015825,0.005745,9.461858,9.461858,0,0
0.752400,1.033750,0.048800,0.726344,0.031982,0.037952,0.852258,0.178835,0.194813,1.279502,1.395526,0.126986,-0.020674,-0.111822,25.122646,25.122646,0,0
