x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
0.280850,1.355500,0.698000,0.369114,0.527794,0.278524,0.607547,0.726495,0.527754,1.550310,1.703194,-0.067184,0.267154,-0.111466,8.590699,8.590699,0,1
-0.188250,1.820900,-0.005750,0.824938,1.132777,0.756522,0.908261,1.064320,0.869783,1.830614,2.159765,-0.354831,-0.212074,0.398403,16.382581,16.382581,0,1
-0.540400,2.922900,-1.866050,0.451411,2.095221,2.015762,0.671872,1.447488,1.419775,3.509632,3.704302,-0.189268,-1.312409,-0.397522,14.417460,14.417460,0,1
-1.347350,4.212800,-1.395050,2.136563,3.113550,4.742772,1.461699,1.764525,2.177791,4.637801,5.357268,-1.820567,-0.267427,-1.558254,76.901737,76.901737,0,1
-1.786250,3.162000,2.246050,2.764260,4.619433,6.436613,1.662606,2.149287,2.537048,4.270091,5.243131,-2.163773,-3.930162,1.004960,116.334717,116.334717,0,1
-0.457500,1.499650,2.509800,2.350924,0.154703,4.204829,1.533272,0.393323,2.050568,2.959282,3.286272,-0.296472,0.594009,-2.115504,48.853684,48.853684,0,1
0.179400,1.419600,0.640250,0.992215,0.201102,0.368116,0.996100,0.448444,0.606726,1.567600,1.863132,0.173953,0.118992,-0.078763,19.495774,19.495774,0,1
-0.200100,1.745600,-0.108300,0.987381,0.425072,0.584510,0.993670,0.651975,0.764532,1.760366,2.091312,0.121735,-0.111522,0.247261,19.561034,19.561034,0,1
-0.432100,2.713600,-1.610600,0.205121,1.008196,1.229853,0.452903,1.004090,1.108987,3.185022,3.285529,0.059101,-0.974523,-0.028704,7.631510,7.631510,0,1
-1.768000,4.274350,-1.415550,2.979063,2.651129,2.457995,1.725996,1.628229,1.567799,4.837321,5.318622,-2.094730,0.232065,-1.722514,119.118682,119.118682,0,1
-2.235000,3.689350,1.849700,2.681902,4.066241,5.917255,1.637651,2.016492,2.432541,4.693391,5.568914,-2.273304,-3.540310,1.646453,150.860644,150.860644,0,1
-0.769800,1.839250,2.540600,1.314845,0.481108,2.547826,1.146667,0.693619,1.596191,3.229564,3.361460,-0.250378,0.895302,-1.239872,36.833896,36.833896,0,1
-0.088150,1.195100,0.758050,0.043356,0.039809,0.289656,0.208220,0.199523,0.538197,1.417982,1.462158,-0.033152,0.099762,-0.096913,0.979163,0.979163,0,1
0.081700,1.207200,0.196900,0.201371,0.164974,0.119099,0.448744,0.406169,0.345107,1.225878,1.316922,-0.028203,-0.034030,-0.085475,3.959548,3.959548,0,1
-0.228000,1.406600,-0.050600,0.395936,0.455746,0.295496,0.629235,0.675090,0.543596,1.425857,1.579770,-0.169702,-0.253776,0.063099,8.562468,8.562468,0,1
-0.265750,2.982200,-1.509850,0.454224,3.097085,2.319742,0.673961,1.759854,1.523070,3.353176,3.529538,0.437644,-2.629488,-0.393325,10.042711,10.042711,1,1
-0.734950,4.591150,-1.989100,1.068931,1.762208,1.308444,1.033891,1.327482,1.143873,5.057206,5.260803,-0.152571,-0.606679,-0.638928,31.112721,31.112721,1,1
-0.736750,3.927000,1.788850,2.000922,3.010412,10.962736,1.414539,1.735054,3.311002,4.377684,5.576701,-0.992473,-2.315219,1.591715,48.873527,48.873527,1,1
-0.059750,2.255600,3.233700,1.227579,1.897267,4.267759,1.107961,1.377413,2.065855,3.943110,4.157421,-0.131737,1.870036,-0.734791,23.395395,23.395395,1,1
0.014950,1.446200,1.228800,0.031169,0.040572,0.571388,0.176547,0.201424,0.755902,1.897806,1.997171,0.030599,-0.063595,-0.089291,0.596679,0.596679,1,1
0.338750,1.587150,0.109000,2.502259,0.511636,1.894435,1.581853,0.715287,1.376385,1.626554,2.335834,-0.068857,-0.370037,-1.592676,49.837955,49.837955,1,1
