x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
0.282650,3.511750,0.377850,2.117730,0.245216,1.667834,1.455242,0.495193,1.291447,3.543311,4.022980,-0.144688,-0.342150,-0.412160,41.834691,41.834691,0,3
1.969550,3.636150,-1.555900,1.769316,0.769149,1.343827,1.330156,0.877012,1.159236,4.418319,4.719500,-0.180864,0.122627,-1.089696,111.199545,111.199545,0,3
1.756000,4.397350,-2.132450,1.850607,2.981458,0.598248,1.360370,1.726690,0.773465,5.193031,5.519739,-0.970662,0.627984,-0.829705,96.832248,96.832248,0,3
-0.742850,4.149450,0.834000,7.481597,3.587742,8.694146,2.735251,1.894133,2.948584,4.297129,5.765176,0.385894,-2.769483,-5.667659,153.186861,153.186861,0,3
-1.182000,1.915150,2.875300,6.240006,2.815069,2.013673,2.498000,1.677817,1.419040,3.651339,4.251981,-2.638613,0.592666,-2.166640,146.502600,146.502600,0,3
0.035200,0.770500,1.569200,0.226117,0.413299,0.888523,0.475518,0.642883,0.942615,1.748513,1.941212,-0.230735,0.056453,-0.225908,4.321010,4.321010,0,3
0.146850,1.233000,0.254800,4.204787,0.525580,1.017336,2.050558,0.724969,1.008631,1.267587,2.182442,-0.293550,-0.509671,-1.073850,80.322245,80.322245,0,3
-0.134150,1.363450,-0.097000,5.459370,0.608442,0.800799,2.336530,0.780027,0.894874,1.373463,2.391952,-0.622431,-0.234787,-1.326190,104.087957,104.087957,0,3
-0.089250,1.980350,0.897950,2.454013,1.472402,1.983689,1.566529,1.213426,1.408435,2.176250,2.806918,-0.413794,0.511046,0.713342,46.785561,46.785561,0,3
0.643350,2.966100,0.723400,2.914086,0.652439,2.353575,1.707069,0.807737,1.534137,3.120089,3.840572,-0.562076,-0.357304,-0.161623,63.645621,63.645621,0,3
1.713300,3.469500,-1.309950,2.095526,0.545146,1.362798,1.447593,0.738340,1.167390,4.085192,4.436556,-0.143304,-0.336798,-1.016748,98.522934,98.522934,0,3
1.009850,4.706100,-1.993000,2.727323,2.498937,1.076316,1.651461,1.580803,1.037457,5.209532,5.629524,-2.144763,1.328176,-1.319091,72.215075,72.215075,0,3
-1.500800,4.717900,0.818700,3.855414,3.679047,8.376935,1.963521,1.918084,2.894294,5.018092,6.192210,-0.124133,-1.832131,-4.601291,118.300876,118.300876,0,3
-1.325700,2.872100,2.805350,6.811283,2.957117,2.123363,2.609843,1.719627,1.457177,4.228052,5.174085,-2.360088,0.113915,-2.610719,164.563982,164.563982,0,3
-0.099700,1.538950,1.395850,5.272690,1.479336,1.758678,2.296234,1.216279,1.326152,2.080073,3.155755,-1.835637,0.899116,-1.313312,100.379914,100.379914,0,3
-0.131850,1.566350,0.669600,2.217189,1.682326,0.679382,1.489023,1.297045,0.824246,1.708567,2.218102,-0.878029,0.900769,-0.118466,42.474283,42.474283,0,3
-0.080200,2.496350,0.593950,1.782789,1.037040,0.680238,1.335211,1.018351,0.824766,2.567289,2.895567,0.305898,0.378446,0.372175,34.001624,34.001624,0,3
0.946500,2.896700,-0.348450,3.291408,0.221264,0.723100,1.814224,0.470387,0.850353,3.067271,3.640704,-0.260633,0.162064,-0.558777,80.453994,80.453994,0,3
2.539800,3.147400,-1.597100,1.665224,1.284729,0.545125,1.290436,1.133459,0.738326,4.348269,4.606406,-0.824871,-0.105828,-0.375184,160.650934,160.650934,0,3
1.309300,3.863600,-1.172650,4.204377,3.689440,2.991289,2.050458,1.920792,1.729534,4.244618,5.110555,-0.965920,-1.072130,-2.067291,114.168488,114.168488,0,3
-0.385400,3.336350,2.012900,0.725781,3.747159,7.876158,0.851928,1.935758,2.806449,3.915550,4.895685,0.354659,-3.162498,-0.818381,16.760498,16.760498,0,3
-0.275250,1.602700,2.894150,0.693788,1.278646,2.930758,0.832939,1.130772,1.711946,3.319716,3.450040,-0.154098,1.467865,-0.664857,14.697215,14.697215,0,3
0.327050,0.953600,0.980450,1.379622,0.138417,0.644445,1.174573,0.372045,0.802773,1.406271,1.872862,-0.010027,-0.140533,-0.484483,28.352061,28.352061,0,3
0.295100,1.369650,0.425600,2.920299,0.535931,0.366025,1.708888,0.732073,0.605000,1.464295,2.074744,-0.802059,0.261901,-0.436347,57.227356,57.227356,0,3
-0.017950,2.067750,1.028450,2.382352,1.237464,1.248280,1.543487,1.112413,1.117264,2.309464,2.833180,-0.176506,0.500026,0.276747,45.271137,45.271137,0,3
0.186400,2.929300,0.793850,2.640081,0.600529,1.375031,1.624833,0.774938,1.172617,3.040681,3.594991,0.099643,-0.291281,0.126837,50.856446,50.856446,0,3
1.398750,3.033800,-0.819950,3.970103,0.132363,0.929159,1.992512,0.363817,0.963929,3.439878,4.026542,-0.401293,0.155457,-1.310735,114.561989,114.561989,0,3
2.104500,3.522550,-1.931650,1.066046,2.148890,0.276742,1.032495,1.465909,0.526063,4.535256,4.753377,-0.981406,0.012302,-0.013413,108.833276,108.833276,0,3
0.084150,4.080250,-0.976350,3.346085,2.720172,2.639661,1.829231,1.649294,1.624703,4.196282,4.896425,-0.188676,-0.236031,-2.809994,63.717231,63.717231,0,3
-1.153400,3.054450,1.232850,1.479022,2.277352,2.430196,1.216150,1.509090,1.558908,3.489974,4.021191,-0.072219,-0.889701,-0.227006,54.708046,54.708046,0,3
-0.715600,1.549550,1.644600,0.841038,0.777499,0.845330,0.917081,0.881759,0.919418,2.370210,2.514401,-0.198306,0.699804,0.111868,26.221382,26.221382,0,3
-0.342700,1.086600,0.792550,0.131761,0.039492,0.148454,0.362990,0.198726,0.385297,1.387904,1.462574,0.018324,-0.036483,-0.099318,4.852332,4.852332,0,3
0.092750,1.191400,0.518100,2.154439,0.169145,0.049304,1.467801,0.411272,0.222045,1.302484,1.825244,-0.349037,0.003050,-0.137432,41.106397,41.106397,0,3
