x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
0.613050,4.064000,-2.084600,0.147003,1.532918,1.166383,0.383410,1.238111,1.079992,4.608414,4.728409,0.100216,-0.411741,0.057030,10.309663,10.309663,0,2
-0.154950,4.658350,-1.262000,0.675666,1.961080,4.889771,0.821989,1.400386,2.211283,4.828755,5.377609,-0.028241,0.806573,-1.627521,13.317851,13.317851,0,2
-0.735200,3.393700,2.319350,1.712132,4.876768,6.311761,1.308485,2.208341,2.512322,4.175776,5.260977,-0.013641,-4.007840,-1.371721,43.340892,43.340892,0,2
-0.222550,0.836650,3.070300,2.141042,0.969254,2.058198,1.463230,0.984507,1.434642,3.190024,3.516939,-1.051995,0.892535,-1.070395,41.670375,41.670375,0,2
0.247600,1.002700,0.710200,2.021608,1.074641,2.911902,1.421833,1.036649,1.706430,1.253434,2.450472,-0.234138,-1.384179,-0.851785,39.636674,39.636674,0,2
-0.014300,1.372650,-0.308600,2.414875,0.417458,1.433175,1.553987,0.646110,1.197153,1.406985,2.148969,0.116165,-0.200254,-1.349374,45.886718,45.886718,0,2
0.250100,1.599500,-0.502700,1.343374,1.361093,1.091291,1.159040,1.166659,1.044649,1.695187,2.188619,0.623381,-0.967230,-0.614144,26.775104,26.775104,0,2
0.805800,3.138750,-1.986300,0.438247,1.966700,2.322530,0.662002,1.402391,1.523985,3.800849,3.991217,0.443332,-1.847933,-0.519332,21.312970,21.312970,0,2
0.087500,4.910350,-1.547700,1.619024,1.995405,5.453657,1.272409,1.412588,2.335307,5.149230,5.798392,-0.769807,1.746072,-2.238935,30.914576,30.914576,0,2
-1.353700,3.348650,2.178500,3.342712,7.301814,7.656218,1.828309,2.702187,2.766987,4.218035,5.750390,1.270937,-5.324349,-2.402757,100.161610,100.161610,0,2
-1.380700,1.086350,2.808450,2.551881,0.329480,3.033262,1.597461,0.574003,1.741626,3.312685,3.718181,-0.276752,-0.532852,-1.092889,86.612386,86.612386,0,2
-0.436350,1.456950,0.596850,2.993598,0.455376,2.431747,1.730202,0.674816,1.559406,1.633810,2.615771,0.082626,-0.306970,-1.632507,60.686395,60.686395,0,2
0.322650,1.651900,-0.293750,3.411828,0.472848,1.519697,1.847114,0.687639,1.232760,1.708557,2.492815,0.287210,-0.021796,-1.640698,66.906799,66.906799,0,2
0.641800,2.833150,-1.762400,0.851559,1.821414,2.080736,0.922799,1.349598,1.442476,3.397749,3.610519,-0.024571,-1.745655,-0.034272,24.417762,24.417762,0,2
-0.029350,4.603750,-2.155850,0.915307,2.002621,1.918481,0.956717,1.415140,1.385092,5.083607,5.404103,-0.618743,0.793239,-0.735458,17.408063,17.408063,0,2
-0.929400,3.805500,1.513450,1.405902,4.409523,9.745420,1.185707,2.099886,3.121766,4.199541,5.590193,-0.445043,-4.446075,-0.818111,43.987818,43.987818,0,2
-0.464850,1.488500,3.471900,2.216676,2.000539,2.021273,1.488851,1.414404,1.421715,3.806023,4.269167,-1.826202,-0.085610,0.056190,46.438561,46.438561,0,2
0.304650,1.081850,1.285700,2.811587,0.581671,3.693710,1.676779,0.762673,1.921903,1.707699,2.949465,-0.288188,-1.129344,-0.801629,55.276377,55.276377,0,2
0.031400,1.273100,-0.000300,2.923626,0.286101,1.207244,1.709861,0.534885,1.098747,1.273487,2.135143,0.083315,-0.221088,-1.234698,55.568608,55.568608,0,2
0.276950,2.373950,-1.055550,1.079439,2.472474,1.864350,1.038960,1.572410,1.365412,2.612762,2.967893,0.570289,-1.925892,-0.698590,22.043359,22.043359,0,2
0.251900,4.406800,-2.060850,0.851693,2.879242,1.084799,0.922872,1.696833,1.041537,4.871390,5.128618,-1.162875,0.855128,-0.508188,17.451230,17.451230,0,2
-1.559050,4.614000,0.183050,3.604006,3.927653,7.530354,1.898422,1.981831,2.744149,4.873719,5.968867,0.113104,-0.610251,-4.484055,117.088853,117.088853,0,2
-1.661200,2.386050,2.734500,3.205963,5.129026,2.671718,1.790520,2.264735,1.634539,3.991279,4.767808,-2.131600,-1.389033,-0.882177,116.104998,116.104998,0,2
