,Index,Label,X,Y,Z,User
327736,327736.000000,0,0.645000,2.926000,-0.297000,P3
327737,327737.000000,0,0.668000,2.773000,-0.387000,P3
327738,327738.000000,0,0.680000,2.820000,-0.453000,P3
327739,327739.000000,0,0.730000,3.133000,-0.680000,P3
327740,327740.000000,0,0.875000,3.488000,-1.137000,P3
327741,327741.000000,0,0.918000,3.789000,-1.648000,P3
327742,327742.000000,0,0.969000,4.289000,-1.813000,P3
327743,327743.000000,0,1.164000,5.313000,-1.797000,P3
327744,327744.000000,0,1.152000,6.172000,-2.070000,P3
327745,327745.000000,0,0.711000,6.199000,-2.625000,P3
327746,327746.000000,0,0.449000,5.871000,-3.156000,P3
327747,327747.000000,0,0.613000,5.152000,-3.492000,P3
327748,327748.000000,0,0.820000,4.066000,-3.625000,P3
327749,327749.000000,0,0.863000,3.297000,-3.531000,P3
327750,327750.000000,0,0.664000,2.875000,-3.262000,P3
327751,327751.000000,0,0.344000,2.703000,-2.875000,P3
327752,327752.000000,0,0.008000,2.887000,-2.551000,P3
327753,327753.000000,0,-0.234000,3.449000,-2.316000,P3
327754,327754.000000,0,-0.094000,4.422000,-2.082000,P3
327755,327755.000000,0,0.316000,5.656000,-1.895000,P3
327756,327756.000000,0,0.535000,6.879000,-1.594000,P3
327757,327757.000000,0,0.355000,7.457000,-1.105000,P3
327758,327758.000000,0,-0.223000,7.082000,-0.695000,P3
327759,327759.000000,0,-0.543000,4.465000,-0.941000,P3
327760,327760.000000,0,-0.633000,3.730000,-1.070000,P3
327761,327761.000000,0,-0.824000,3.930000,0.016000,P3
327762,327762.000000,0,-0.840000,4.285000,0.422000,P3
327763,327763.000000,0,-1.785000,4.781000,1.082000,P3
327764,327764.000000,0,-0.855000,4.875000,2.477000,P3
327765,327765.000000,0,-2.035000,5.305000,4.953000,P3
327766,327766.000000,0,-4.148000,3.387000,5.855000,P3
327767,327767.000000,0,-3.430000,1.488000,5.398000,P3
327768,327768.000000,0,-1.223000,0.840000,4.621000,P3
327769,327769.000000,0,-0.512000,1.305000,4.254000,P3
327770,327770.000000,0,-0.250000,1.445000,4.086000,P3
327771,327771.000000,0,-0.008000,1.387000,3.734000,P3
327772,327772.000000,0,-0.207000,1.695000,3.824000,P3
327773,327773.000000,0,0.023000,1.605000,4.000000,P3
327774,327774.000000,0,0.723000,1.160000,3.754000,P3
327775,327775.000000,0,1.176000,0.773000,3.316000,P3
327776,327776.000000,0,1.352000,0.355000,2.875000,P3
327777,327777.000000,0,1.504000,-0.129000,2.582000,P3
327778,327778.000000,0,1.355000,-0.504000,2.391000,P3
327779,327779.000000,0,0.949000,-0.672000,2.227000,P3
327780,327780.000000,0,0.566000,-0.582000,2.004000,P3
327781,327781.000000,0,0.164000,-0.238000,1.730000,P3
327782,327782.000000,0,-0.270000,0.230000,1.461000,P3
327783,327783.000000,0,-0.578000,0.707000,1.258000,P3
327784,327784.000000,0,-0.750000,1.094000,1.102000,P3
327785,327785.000000,0,-0.887000,1.387000,0.934000,P3
327786,327786.000000,0,-0.984000,1.586000,0.785000,P3
327787,327787.000000,0,-0.859000,1.711000,0.656000,P3
327788,327788.000000,0,-0.707000,1.820000,0.570000,P3
327789,327789.000000,0,-0.555000,1.879000,0.445000,P3
327790,327790.000000,0,-0.500000,1.859000,0.313000,P3
327791,327791.000000,0,-0.617000,1.746000,0.215000,P3
327792,327792.000000,0,-0.813000,1.629000,0.191000,P3
327793,327793.000000,0,-0.547000,1.848000,-0.809000,P3
327794,327794.000000,0,2.793000,2.996000,-4.355000,P3
327795,327795.000000,0,4.336000,1.332000,-2.371000,P3
327796,327796.000000,0,0.742000,1.664000,0.672000,P3
327797,327797.000000,0,-1.793000,0.957000,0.242000,P3
327798,327798.000000,0,-1.203000,1.180000,-0.191000,P3
327799,327799.000000,0,2.160000,0.375000,-0.508000,P3
327800,327800.000000,0,1.613000,0.590000,-0.789000,P3
327801,327801.000000,0,-0.547000,0.391000,-0.746000,P3
327802,327802.000000,0,-1.219000,0.398000,-0.383000,P3
327803,327803.000000,0,-0.746000,0.969000,-0.105000,P3
327804,327804.000000,0,-0.473000,1.320000,-0.027000,P3
327805,327805.000000,0,-0.367000,1.203000,0.023000,P3
327806,327806.000000,0,-0.184000,1.242000,0.301000,P3
327807,327807.000000,0,-0.074000,1.297000,0.465000,P3
327808,327808.000000,0,-0.020000,1.207000,0.434000,P3
327809,327809.000000,0,-0.039000,1.145000,0.332000,P3
327810,327810.000000,0,-0.074000,1.172000,0.277000,P3
330381,330381.000000,0,2.133000,2.355000,-1.039000,P3
330382,330382.000000,0,1.863000,2.813000,-1.281000,P3
330383,330383.000000,0,1.105000,3.469000,-2.125000,P3
330384,330384.000000,0,0.906000,3.813000,-2.719000,P3
330385,330385.000000,0,1.219000,4.430000,-2.887000,P3
330386,330386.000000,0,1.324000,5.074000,-3.152000,P3
330387,330387.000000,0,0.957000,5.215000,-3.199000,P3
330388,330388.000000,0,0.566000,4.996000,-3.230000,P3
330389,330389.000000,0,0.395000,4.594000,-3.281000,P3
330390,330390.000000,0,0.574000,4.004000,-3.227000,P3
330391,330391.000000,0,0.871000,3.285000,-3.223000,P3
330392,330392.000000,0,0.875000,2.715000,-3.266000,P3
330393,330393.000000,0,0.977000,2.645000,-3.195000,P3
330394,330394.000000,0,1.320000,3.148000,-2.996000,P3
330395,330395.000000,0,1.422000,4.156000,-2.715000,P3
330396,330396.000000,0,1.242000,5.555000,-2.309000,P3
330397,330397.000000,0,0.785000,6.906000,-1.750000,P3
330398,330398.000000,0,-0.004000,7.469000,-1.020000,P3
330399,330399.000000,0,-0.625000,6.230000,-0.742000,P3
330400,330400.000000,0,-0.570000,4.328000,-1.031000,P3
330401,330401.000000,0,-0.617000,4.051000,-0.531000,P3
330402,330402.000000,0,-1.594000,4.762000,-0.840000,P3
330403,330403.000000,0,-3.266000,6.285000,0.355000,P3
330404,330404.000000,0,-0.902000,6.902000,2.664000,P3
330405,330405.000000,0,-1.980000,5.887000,5.734000,P3
330406,330406.000000,0,-5.543000,1.625000,5.281000,P3
330407,330407.000000,0,-5.227000,0.648000,4.305000,P3
330408,330408.000000,0,-3.051000,1.266000,3.898000,P3
330409,330409.000000,0,-2.113000,1.547000,4.297000,P3
330410,330410.000000,0,-2.156000,1.379000,4.305000,P3
330411,330411.000000,0,-1.449000,0.949000,4.578000,P3
330412,330412.000000,0,-0.156000,0.430000,4.758000,P3
330413,330413.000000,0,0.457000,0.223000,4.563000,P3
330414,330414.000000,0,0.090000,0.215000,3.934000,P3
330415,330415.000000,0,-0.395000,0.316000,3.121000,P3
330416,330416.000000,0,-0.594000,0.441000,2.645000,P3
330417,330417.000000,0,-0.559000,0.629000,2.477000,P3
330418,330418.000000,0,-0.508000,0.926000,2.246000,P3
330419,330419.000000,0,-0.645000,1.203000,1.930000,P3
330420,330420.000000,0,-0.945000,1.266000,1.523000,P3
330421,330421.000000,0,-1.141000,1.449000,1.113000,P3
330422,330422.000000,0,-1.219000,1.707000,0.789000,P3
330423,330423.000000,0,-1.242000,1.844000,0.602000,P3
330424,330424.000000,0,-1.023000,1.832000,0.480000,P3
330425,330425.000000,0,-0.195000,1.832000,-0.676000,P3
330426,330426.000000,0,3.023000,2.699000,-3.766000,P3
330427,330427.000000,0,4.180000,1.336000,-1.930000,P3
330428,330428.000000,0,1.563000,2.246000,1.613000,P3
330429,330429.000000,0,-3.027000,2.648000,2.094000,P3
330430,330430.000000,0,-3.262000,2.160000,0.984000,P3
330431,330431.000000,0,-0.391000,1.605000,0.465000,P3
330432,330432.000000,0,0.449000,1.320000,-0.109000,P3
330433,330433.000000,0,-0.609000,0.777000,-0.121000,P3
330434,330434.000000,0,-1.539000,0.496000,-0.180000,P3
330435,330435.000000,0,-1.043000,0.723000,-0.242000,P3
330436,330436.000000,0,-0.520000,1.102000,-0.238000,P3
330437,330437.000000,0,-0.242000,1.156000,-0.367000,P3
330438,330438.000000,0,-0.016000,1.172000,-0.289000,P3
